613 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
235 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
573 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
948 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
237 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
477 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
739 | INFO  | qtp533881159-53  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
103 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
253 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
817 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
132 | INFO  | qtp533881159-636 | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
228 | INFO  | qtp533881159-52  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
003 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
208 | INFO  | qtp533881159-56  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
717 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
439 | INFO  | qtp533881159-58  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
197 | INFO  | qtp533881159-54  | route92                          | 137 - org.apache.camel.camel-core - 2.15.1.redhat-620123 | inside direct:createBadge route...new..
